===== SHEET: Overall status =====
1	System (HRM, TK, Payroll)	Phase No	Module	Module No	Feature Points	Activity	Sub-Module	Feature (PaaS Ready, Multi-Database)	Description	Additional Description	Actor access	Documentation	UI	Development	Testing	Reference	Remarks				
29	Payroll	Phase II	Settings Module/System Configuration	4		28	Calendar Settings	Payroll Calendar/Payouts Set Up * Existing in HRM and TK (Phase 1)	Setting up of Payout type; Payment mode (daily, weekly, semi-monthly, every two weeks, monthly,every four weeks); Payout Information (Payment, Payment Mode, Month, Year, etc.); Statutory deadlines * With report generation to pdf and excel * With upload and encode facility (with template) * * Customizable and unlimited entries * Add, view, edit, delete * For manual adding, select the year; payout type, & payment mode * Payroll transaction will be closed and cannot be opened after the payout date		P&A Admin, Client Admin	Complete	Approved	Deployed							
30	Payroll	Phase II	Settings Module/System Configuration	4		29	Calendar Settings	Payroll Calendar/Payroll Process Timelines Set Up	Setting up of Payroll deadlines (internal - P&A, and external - clients) * Start of payroll processing/gathering of instructions up to statutory payment/payroll entries/bank files * With report generation to pdf and excel * With upload and encode facility (with template) * * Customizable and unlimited entries * Add, view, edit, delete	Calendar Set Up * Input of calendar events (manual input/add or upload) * view/add/edit/delete * notify processors * consider holiday calendar/holidays outside the PH * in app notifications for events (setting of notifs x day before event or on the day of event) **include PH/non*PH under holiday calendars **payout calendar, payroll calendar (multiple, depending on frequency), timekeeping calendar, statutory calendar, holidays calendar, billing cut*off calendar	P&A Admin, Client Admin	In progress	In progress	Not yet started							
31	Payroll	Phase II	Settings Module/System Configuration	4		30	Calendar Settings	Payroll Calendar/Timekeeping Cut Off Set Up * Existing in HRM and TK (Phase 1)	Setting up of Payroll deadlines (internal - P&A, and external - clients) * Start of payroll processing/gathering of instructions up to statutory payment/payroll entries/bank files * With report generation to pdf and excel * With upload and encode facility (with template) * * Customizable and unlimited entries * Add, view, edit, delete		P&A Admin, Client Admin	Complete	Approved	Deployed							
32	Payroll	Phase II	Settings Module/System Configuration	4		31	Calendar Settings	Payroll Calendar/Statutory Timelines Set Up * Existing in HRM and TK (Phase 1)	Setting up of statutory deadlines (internal - P&A, and external - clients & government agencies) * With report generation to pdf and excel * With upload and encode facility (with template) * * Customizable and unlimited entries * Add, view, edit, delete * Validation and link of Employer government ID numbers to staturoy deadlines per agency		P&A Admin, Client Admin	Complete	Approved	Deployed							
33	Payroll	Phase II	Settings Module/System Configuration	4		32	Calendar Settings	Holidays Calendar Set Up * Existing in HRM and TK (Phase 1)	Setting up of Holidays (add, edit, delete) - Regular, Special, Regular Holiday, Special Holiday on Restday and Regular Holiday on Restday Settings (holiday code, holiday name, date, type of holiday, action dropdown) * Can designate/assign to different employees due to different location holidays * With report generation to pdf and excel * With upload and encode facility (with template) * * Customizable and unlimited entries * Color coded events		P&A Admin, Client Admin	Complete	Approved	Deployed							
34	Payroll	Phase II	Settings Module/System Configuration	4		33	Calendar Settings	Billing Cut Off Calendar Set UP	Setting up of Billing Cut off dates (i.e. May 1-31) with release/billing date (add, edit, delete) - * With 3 levels of review (Preparer, Checker, Review) * With report generation to pdf and excel * With upload and encode facility (with template) * * Customizable and unlimited entries	Included in Billing Transaction setup	P&A Admin	Not yet Started	Not yet started	Not yet started							
35	Payroll	Phase II	Settings Module/System Configuration	4		34	Employee Information/Masterfile Settings	Employee Masterfile set up * Existing in HRM and TK (Phase 1)	Setting up of employees' required information (Employee Code, Basic information, Contact information, Payroll information, Shift/work schedule, Tax information, Employment type/(Employee Status in Dorado), Income type, Multi-currency, Payroll calendar, Employee group, Holiday group, Authorization (approve leave/approve timesheets), Leave, Bank information, Payroll history/YTD, Pay template - fixed earnings, Fixed deductions, Fixed bonuses, Fixed reimbursements, Fixed loans, YTD/payroll history from previous system or previous employers for the taxable year, Notes - date, time, user, note (to record feedback or milestones)) - SEE ANNEX B - check all masterfile settings if there should be set up or directly set up on the masterfile module * Customizable, can still add and edit fields * With upload (with batch uploading), encode and import facility (with template) * With search facility * With report generation to pdf and excel (with batch downloading) * See the designated tab on the excel file for Sub Module 2 * Unlimited entries		P&A Admin, Client Admin	Complete	Approved	Deployed							
36	Payroll	Phase II	Settings Module/System Configuration	4		35	Employee Information/Masterfile Settings	Multiple branch of government office for employees	Multiple branch of government office for employees	* Setup for admins to Create, Read, Update, and Delete Government offices branches * per employee/company setup * Government office branches to appear as filter when generating reports	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
37	Payroll	Phase II	Settings Module/System Configuration	4		36	Employee Information/Masterfile Settings	Employee Type set up * Existing in HR and TK (Phase 1)	Setting up of Employee type for payroll computation purposes - SEE ANNEX A - check all masterfile settings if there should be set up or directly set up on the masterfile module * Authorized user to select a particular client to add and edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * Add, view, edit, delete * Customizable, can still add and edit fields * With upload, update, encode and import facility (with template and can select parameters which to upload, update or import) * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Complete	Approved	Deployed							
38	Payroll	Phase II	Settings Module/System Configuration	4		37	Payroll Settings	Pay items Set Up - Leaves * Existing in HRM and TK (Phase 1)	Setting up of Leaves * Can designate/assign to different employees/employee types or group * Unlimited number of items/types * With report generation to pdf and excel * With upload and encode facility (with template) * Customizable		P&A Admin, Client Admin	Complete	Approved	Deployed							
39	Payroll	Phase II	Settings Module/System Configuration	4		38	Payroll Settings	Pay Items Set Up - Earnings * Existing in HRM and TK (Phase 1)	Setting up of earnings and basis and schedule * Absences, Tardiness, Undertime should be deductions but negative figures will be addition * Can designate/assign to different employees/employee types or group * Unlimited number of items/types * With report generation to pdf and excel * With upload and encode facility (with template) * Fixed and One-time earnings * Taxability * Type (Other Earnings, De Minimis, Reimbursements, OJT allowances, part timers, retirement, FBT, etc.) * Customizable		P&A Admin, Client Admin	In progress	For approval	Not yet started							
40	Payroll	Phase II	Settings Module/System Configuration	4		39	Payroll Settings	Pay item Basic Pay	ECOLA Field	* Inclusion of an additional field (ECOLA) only during pay items setup	P&A Admin, Client Admin	Complete	Approved	Deployed							
41	Payroll	Phase II	Settings Module/System Configuration	4		40	Payroll Settings	Pay Item Earnings - User specified frequency of Recurring Income * Existing in Phase 1	User specified frequency of Recurring Income		P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
42	Payroll	Phase II	Settings Module/System Configuration	4		41	Payroll Settings	Pay Item - Variable allowance * Existing in Phase 1	Specific amount per day or per month but it is adjusted based on the employee's timekeeping for the period. Can be defined to compute based on hours worked or based on days worked. Variable allowance based on hours worked is computed just like the monthly rates where hourly rate of employee is used. Variable allowance based on days worked is computed based on the number of days and does not take into consideration the tardiness and undertime. When the employee incurs absences, tardiness, or undertime, the allowance will be adjusted, depends on the policy Integrated with the timekeeping data so that everything is already done automatically		P&A Admin, Client Admin	Complete	Approved	Deployed							
43	Payroll	Phase II	Settings Module/System Configuration	4		42	Payroll Settings	Pay Items Set Up - Bonuses * Existing in HRM and TK (Phase 1)	Setting up of bonuses and basis and schedule * Can designate/assign to different employees/employee types or group * Customizable and Unlimited number of items/types * With report generation to pdf and excel * With upload and encode facility (with template) * Fixed and scheduled bonus * Taxability		P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
44	Payroll	Phase II	Settings Module/System Configuration	4		43	Payroll Settings	Pay Items Set Up - Deductions * Existing in HRM and TK (Phase 1)	Setting up of deductions and basis and schedule * Can designate/assign to different employees/employee types or group * * Customizable and Unlimited number of items/types * With report generation to pdf and excel * With upload and encode facility (with template) * Fixed and One-time deductions * User specified frequency of Recurring Deductions		P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
45	Payroll	Phase II	Settings Module/System Configuration	4		44	Payroll Settings	Pay Items Set Up - Company Loans * Existing in HRM and TK (Phase 1)	Setting up of company loans and basis and schedule * Can designate/assign to different employees/employee types or group * Customizable and Unlimited number of items/types * With report generation to pdf and excel * With upload and encode facility (with template) * Fixed and one time loans * Maintains Loan amortization and balances * User specified frequency of Recurring Loans		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
