===== SHEET: Overall status =====
1	System (HRM, TK, Payroll)	Phase No	Module	Module No	Feature Points	Activity	Sub-Module	Feature (PaaS Ready, Multi-Database)	Description	Additional Description	Actor access	Documentation	UI	Development	Testing	Reference	Remarks				
142	Payroll	Phase II	Employee Information/Masterfile Module	16	2	141	Employee records/masterfile	View Employee fixed bonuses * Existing in HRM and TK (Phase 1)	Viewing functions with employee number/code and employee name on display (Bonus Code, Bonus Type, Bonus Name, Start Date, End Date, No. of Payment, Total Amount Paid, Total Balance - if negative amount) - SEE ANNEX B * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 2		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
143	Payroll	Phase II	Employee Information/Masterfile Module	16	2	142	Employee records/masterfile	View Employee fixed deductions * Existing in HRM and TK (Phase 1)	Viewing functions with employee number/code and employee name on display (Deduction Code, Deduction Type, Deduction Name, Start Date, End Date, No. of Deduction, Total Deduction Amount, Total Balance) - SEE ANNEX B * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 2		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
144	Payroll	Phase II	Employee Information/Masterfile Module	16	2	143	Employee records/masterfile	View Employee multi-currency * Existing in HRM and TK (Phase 1)	Viewing functions with employee number/code and employee name on display (Currency Code - C001, C002, etc., Currency Conversion Rate on - Payout Date, Payroll Date, etc., Percentage Rate, Multi-Currency Rule - Payroll, Expense Claims, etc., Remarks) - SEE ANNEX B * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 2		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
145	Payroll	Phase II	Employee Information/Masterfile Module	16	2	144	Employee records/masterfile	View Employee position * Existing in HRM and TK (Phase 1)	Viewing functions with employee number/code and employee name on display (Job Title/Position Code, Job Title/Position Name, Job Grade/Level Code, Job Grade/Level, Reports To/Direct Manager/s, Direct Report/s) - SEE ANNEX B * Displays employee position history * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 2		P&A Admin, Client Admin	Complete	Approved	Deployed							
146	Payroll	Phase II	Employee Information/Masterfile Module	16		145	Employee records/masterfile	View Employee Shift/Work Schedules * Existing in HRM and TK (Phase 1)	Viewing functions with employee number/code and employee name on display (Unit of Time - Day, Week, Month; Shift Code; Workshift - Any Shift, 1st Shift (07:00 - 16:30), 2nd Shift (08:00 - 1730), New Shift Template, etc.; Required Shift - Exactly, At least, At most, All Day Flexible; Break Hours; Timezone, Description, Repeat Every - Every week, Every 2 weeks, etc.; Repeat Upto and Including - Date Upto and including Today or not; Repeat On - Monday, Tues, etc.) - SEE ANNEX B * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 2		P&A Admin, Client Admin	Complete	Approved	Deployed							
147	Payroll	Phase II	Employee Information/Masterfile Module	16		146	Employee Information/Masterfile	Edit Employee Type * Existing in HR and TK (Phase 1)	Updating of Employee type for payroll computation purposes - SEE ANNEX A * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * Add, view, edit, delete * Customizable, can still add and edit fields * With upload, update, encode and import facility (with template and can select parameters which to upload, update or import) * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Complete	Approved	Deployed							
148	Payroll	Phase II	Employee Information/Masterfile Module	16		147	Employee Information/Masterfile	View Employee Type * Existing in HR and TK (Phase 1)	Viewing of Employee type for payroll computation purposes - SEE ANNEX A * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Complete	Approved	Deployed							
149	Payroll	Phase II	Payroll Transaction Module	17		148	Payroll Transaction	Add Payroll Transaction	Creating of Payroll Transaction to proceed with the payroll computation - SEE ANNEX C * The payroll transaction will be automatically locked based on the set up locking date on the payroll calendar set up (1 day after payout date, etc.) * Authorized user to select a particular client to add and edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * With upload, encode, and import facility (with template) * Unlimited entries * With search facility * Add, view, edit, delete * See the designated tab on the excel file for Sub Module 3		P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
150	Payroll	Phase II	Payroll Transaction Module	17		149	Payroll Transaction	Edit Payroll Transaction	Updating of Payroll Transaction to proceed with the payroll computation - SEE ANNEX C * The payroll transaction will be automatically locked based on the set up locking date on the payroll calendar set up (1 day after payout date, etc.) * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * With upload, encode, and import facility (with template) * Unlimited entries * Add, view, edit, delete * With search facility * See the designated tab on the excel file for Sub Module 3		P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
151	Payroll	Phase II	Payroll Transaction Module	17		150	Payroll Transaction	View Payroll Transaction	Viewing of Payroll Transaction to proceed with the payroll computation - SEE ANNEX C * The payroll transaction will be automatically locked based on the set up locking date on the payroll calendar set up (1 day after payout date, etc.) * Authorized user to select a particular client to vie (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 3		P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
152	Payroll	Phase II	Payroll Transaction Module	17		151	Payroll Transaction	Download Payroll Transaction	Downloading/generating of Payroll Transaction to proceed with the payroll computation - SEE ANNEX C * The payroll transaction will be automatically locked based on the set up locking date on the payroll calendar set up (1 day after payout date, etc.) * Authorized user to select a particular client to downloading/generating (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * With search facility * See the designated tab on the excel file for Sub Module 3		P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
153	Payroll	Phase II	Payroll Transaction Module	17		152	Payroll Transaction	Selective Payroll Transaction	Multi-category or single employee processing (Single employee, Selective employees, All employees, etc.)		P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
154	Payroll	Phase II	Payroll Transaction Module	17		153	Payroll Transaction	With option to open certain fields in the payroll transaction (i.e. special payroll) like in override	With option to open certain fields in the payroll transaction (i.e. special payroll) like in override		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
155	Payroll	Phase II	Payroll Transaction Module	17		154	Payroll Transaction	Posting on payroll transaction to be retained	Posting on payroll transaction to be retained but the automatic lock after payout will also be one of the ....		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
156	Payroll	Phase II	Payroll Transaction Module	17		155	Payroll Transaction	Employee Transaction List	This will allow the user to view and create transaction of the employees * Add - System will save the transaction information in the database. System will review the transaction and process the payroll * Recalculate - System will recalculate the selected entry and update the transaction if there are changes made * Post as Draft - System will post the selected entry as draft and will not process the transaction * Update Entry - System will allow the user to add/edit employee included in the transaction and save the changes in the database * Delete - System will automatically remove the transaction from the list and delete all the transaction information in the database * View - System will fetch and retrieve the transactions created to the user		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
157	Payroll	Phase II	Payroll Transaction Module	17		156	Payroll Transaction	Add Multi Currency Transaction	Creating of Multi Currency Payroll Transaction to proceed with the payroll computation (Multi currency, particular payroll transaction, Appropriate currency coversion, - SEE ANNEX C * The payroll transaction will be automatically locked based on the set up locking date on the payroll calendar set up (1 day after payout date, etc.) * Authorized user to select a particular client to add and edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * With upload, encode, and import facility (with template) * Unlimited entries * With search facility * Add, view, edit, delete * See the designated tab on the excel file for Sub Module 3		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
158	Payroll	Phase II	Payroll Transaction Module	17		157	Payroll Transaction	Cancel Multi Currency Transaction	Cancelling of Multi Currency Payroll Transaction to proceed with the payroll computation (Multi currency, particular payroll transaction, cancek transaction, reason for cancellation) - SEE ANNEX C * The payroll transaction will be automatically locked based on the set up locking date on the payroll calendar set up (1 day after payout date, etc.) * Authorized user to select a particular client to cancel (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * With search facility * See the designated tab on the excel file for Sub Module 3		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
159	Payroll	Phase II	Payroll Transaction Module	17		158	Payroll Transaction	View Multi Currency Transaction	Viewing of Multi Currency Payroll Transaction to proceed with the payroll computation (Multi currency, particular payroll transaction, Appropriate currency coversion, - SEE ANNEX C * The payroll transaction will be automatically locked based on the set up locking date on the payroll calendar set up (1 day after payout date, etc.) * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 3		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
160	Payroll	Phase II	Payroll Transaction Module	17		159	Payroll Transaction	Download Multi Currency Transaction	Downloading/generating of Multi Currency Payroll Transaction to proceed with the payroll computation - SEE ANNEX C * The payroll transaction will be automatically locked based on the set up locking date on the payroll calendar set up (1 day after payout date, etc.) * Authorized user to select a particular client to downloading/generating (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * With search facility * See the designated tab on the excel file for Sub Module 3		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
161	Payroll	Phase II	Computational Basis Module	7		160	Computational Basis	Deduction tag as Withholding tax, and Other Statutory Deductions	Able to tag deductions as withholding tax, SSS, PHIC, HDMF contributions/loans on the payroll transaction		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
162	Payroll	Phase II	Employee Self Inquiry Module	19		161	Employee Self Inquiry	Employee 201 file * Existing in HRM and TK (Phase 1)	Displays the employee 201 information * Edit function to employees is configurable (depending on the subscription) * With report generation to pdf and excel		Employee	Complete	In progress	In progress							
163	Payroll	Phase II	Employee Self Inquiry Module	19		162	Employee Self Inquiry	Payslip inquiry	Displays the employee payslip per payout date (employee name, employee number, division, position, payroll period date, payout date, earnings, deductions, gross pay, net pay) * Has dropdown to choose the payout date * With report generation to pdf * Option to email payslip	* Allows employees to use a self-service facility to generate payslip * Employees will select pay period (dropdown) * Employees to generate payslip (display payslip or download)	Employee	Not yet Started	Not yet started	Not yet started							
164	Payroll	Phase II	Employee Self Inquiry Module	19		163	Employee Self Inquiry	Payslip inquiry management	Admin view all employees payslips, for monitoring, records, timekeeping, and payroll purposes * With report generation to pdf and excel	* Allows admins to generate a payslip for an individual employee or a group of employees * Admin to select employees, group, department or all employees * Admin to select pay period (per pay period) * Payslip/s generated will be downloaded as a ZIP file (if multiple)	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
165	Payroll	Phase II	Employee Self Inquiry Module	19	3	164	Employee Self Inquiry	Loan inquiry * Existing in HRM and TK (Phase 1)	Displays the employee loan summary (loan name, loan type, date of application, number of payment, total loan amount, total payment, total balance) * With report generation to pdf and excel		Employee	Complete	In progress	In progress							
166	Payroll	Phase II	Employee Self Inquiry Module	19	2	165	Employee Self Inquiry	Loan inquiry management * Existing in HRM and TK (Phase 1)	Admin view all employees loan summary, for monitoring, records, timekeeping, and payroll purposes * With report generation to pdf and excel		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
167	Payroll	Phase II	Employee Self Inquiry Module	19		166	Employee Self Inquiry	Summary statutory contribution inquiry	Displays the employee company contribution summary (deduction name, number of contributions, total contribution amount, total balance) * Also displays the employee government contribution summary (payroll period, employee share per govt agency, employer share per govt agency) * With report generation to pdf and excel	If included in Annex D reports, records can be pulled and be provided to employees for viewing/downloading *Annex D includes statutory contribution reports * Self service of each employee	Employee	Not yet Started	Not yet started	Not yet started							
168	Payroll	Phase II	Employee Self Inquiry Module	19		167	Employee Self Inquiry	Summary statutory contribution inquiry management	Admin view all employees statutory contributions summary, for monitoring, records, timekeeping, and payroll purposes * With report generation to pdf and excel	If included in Annex D reports, records can be pulled and be provided to employees for viewing/downloading *Annex D includes statutory contribution reports * Admin, for all employees	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
169	Payroll	Phase II	Employee Self Inquiry Module	19		168	Employee Self Inquiry	Payroll history inquiry	Displays the employee payroll history per payroll period (from basic pay up to net pay) * Has dropdown to choose the payrolll year * With report generation to pdf and excel	* Allows employees to use a self-service facility to generate payslip * Employees will select pay period (dropdown) * Employees to generate payroll history (display payroll history or download)	Employee	Not yet Started	Not yet started	Not yet started							
170	Payroll	Phase II	Employee Self Inquiry Module	19		169	Employee Self Inquiry	Payroll history inquiry management	Admin view all employees payroll history, for monitoring, records, timekeeping, and payroll purposes * With report generation to pdf and excel	* Allows admins to generate a payroll history for an individual employee or a group of employees * Admin to select employees, group, department or all employees * Admin to select pay period (date range) * Generated payroll history will be downloaded as a ZIP file (if multiple)	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
171	Payroll	Phase II	Certification Request Module	20	3	170	Employee Certificates	Employee certificate of employment request * Existing in HRM and TK (Phase 1)	Employee to apply and view certificate of employment (date requested, date needed, purpose, other details, status, status date, link of certificate, link expiration date, action dropdown) * With report generation to pdf and word * With follow up button which will send notification again	Employee certifications are included in PH1, but they will pull records from Payroll (PH 2) Phase 1 Description (under HRM > Reports > Certifications Report) Employees certifications (COE, BIR 2316, BIR 2307, SSS, PHIC, HDMF) report viewing and printing * With report generation to pdf and excel * With report selector (e.g. employee group, etc)	Employee	Complete	Approved	Deployed							
172	Payroll	Phase II	Certification Request Module	20		171	Employee Certificates	Employee certificate of compensation payment or income tax withheld request (BIR 2316)	Employee to apply and view BIR 2316 (date requested, date needed, purpose, other details, status, status date, link of certificate, link expiration date, action dropdown) * With report generation to pdf and word * With follow up button which will send notification again	Employee certifications are included in PH1, but they will pull records from Payroll (PH 2) Phase 1 Description (under HRM > Reports > Certifications Report) Employees certifications (COE, BIR 2316, BIR 2307, SSS, PHIC, HDMF) report viewing and printing * With report generation to pdf and excel * With report selector (e.g. employee group, etc)	Employee	Not yet Started	Not yet started	Not yet started							
173	Payroll	Phase II	Certification Request Module	20		172	Employee Certificates	Employee certificate of creditable tax withheld at source request (BIR 2307)	Employee to apply and view BIR 2307 (date requested, date needed, purpose, other details, status, status date, link of certificate, link expiration date, action dropdown) * With report generation to pdf and word * With follow up button which will send notification again	Employee certifications are included in PH1, but they will pull records from Payroll (PH 2) Phase 1 Description (under HRM > Reports > Certifications Report) Employees certifications (COE, BIR 2316, BIR 2307, SSS, PHIC, HDMF) report viewing and printing * With report generation to pdf and excel * With report selector (e.g. employee group, etc)	Employee	Not yet Started	Not yet started	Not yet started							
174	Payroll	Phase II	Certification Request Module	20		173	Employee Certificates	Certificates: SSS contribution certificate	Employee to apply and view SSS contribution certificate (date requested, date needed, purpose, other details, status, status date, link of certificate, link expiration date, action dropdown) * With report generation to pdf and word * With follow up button which will send notification again	Employee certifications are included in PH1, but they will pull records from Payroll (PH 2) Phase 1 Description (under HRM > Reports > Certifications Report) Employees certifications (COE, BIR 2316, BIR 2307, SSS, PHIC, HDMF) report viewing and printing * With report generation to pdf and excel * With report selector (e.g. employee group, etc)	Employee	Not yet Started	Not yet started	Not yet started							
175	Payroll	Phase II	Certification Request Module	20		174	Employee Certificates	Certificates: SSS loan certificate	Employee to apply and view SSS loan certificate (date requested, date needed, purpose, other details, status, status date, link of certificate, link expiration date, action dropdown) * With report generation to pdf and word * With follow up button which will send notification again	Employee certifications are included in PH1, but they will pull records from Payroll (PH 2) Phase 1 Description (under HRM > Reports > Certifications Report) Employees certifications (COE, BIR 2316, BIR 2307, SSS, PHIC, HDMF) report viewing and printing * With report generation to pdf and excel * With report selector (e.g. employee group, etc)	Employee	Not yet Started	Not yet started	Not yet started							
176	Payroll	Phase II	Certification Request Module	20		175	Employee Certificates	Certificates: PHIC contribution certificate	Employee to apply and view PHIC contribution certificate (date requested, date needed, purpose, other details, status, status date, link of certificate, link expiration date, action dropdown) * With report generation to pdf and word * With follow up button which will send notification again	Employee certifications are included in PH1, but they will pull records from Payroll (PH 2) Phase 1 Description (under HRM > Reports > Certifications Report) Employees certifications (COE, BIR 2316, BIR 2307, SSS, PHIC, HDMF) report viewing and printing * With report generation to pdf and excel * With report selector (e.g. employee group, etc)	Employee	Not yet Started	Not yet started	Not yet started							
177	Payroll	Phase II	Certification Request Module	20		176	Employee Certificates	Certificates: HDMF contribution certificate	Employee to apply and view HDMF contribution certificate (date requested, date needed, purpose, other details, status, status date, link of certificate, link expiration date, action dropdown) * With report generation to pdf and word * With follow up button which will send notification again	Employee certifications are included in PH1, but they will pull records from Payroll (PH 2) Phase 1 Description (under HRM > Reports > Certifications Report) Employees certifications (COE, BIR 2316, BIR 2307, SSS, PHIC, HDMF) report viewing and printing * With report generation to pdf and excel * With report selector (e.g. employee group, etc)	Employee	Not yet Started	Not yet started	Not yet started							
178	Payroll	Phase II	Certification Request Module	20		177	Employee Certificates	Certificates: HDMF loan certificate	Employee to apply and view HDMF loan certificate (date requested, date needed, purpose, other details, status, status date, link of certificate, link expiration date, action dropdown) * With report generation to pdf and word * With follow up button which will send notification again	Employee certifications are included in PH1, but they will pull records from Payroll (PH 2) Phase 1 Description (under HRM > Reports > Certifications Report) Employees certifications (COE, BIR 2316, BIR 2307, SSS, PHIC, HDMF) report viewing and printing * With report generation to pdf and excel * With report selector (e.g. employee group, etc)	Employee	Not yet Started	Not yet started	Not yet started							
179	Payroll	Phase II	Certification Request Module	20	2	178	Employee Certificates	Employee certificate of employment request for other purposes * Existing in HRM and TK (Phase 1)	Employee to apply and view certificate of employment for other purposes - loan, car, bank, visa application (date requested, date needed, purpose, other details, status, status date, link of certificate, link expiration date, action dropdown) * With report generation to pdf and word * With follow up button which will send notification again	Employee certifications are included in PH1, but they will pull records from Payroll (PH 2) Phase 1 Description (under HRM > Reports > Certifications Report) Employees certifications (COE, BIR 2316, BIR 2307, SSS, PHIC, HDMF) report viewing and printing * With report generation to pdf and excel * With report selector (e.g. employee group, etc)	Employee	Deleted feature	Not applicable	Not applicable							
180	HRM	Phase II	Manage Approvals Module	21	2	179	Manage Approvals	Certifications request approval * Existing in HRM and TK (Phase 1)	Approver to approve or reject all certifications request * Can approve multiple applications at once * Displays for approval, approved, rejected * With Pending, approval, and rejection alert - email notification/SMS notification/dashboard * With report generation to pdf and excel	We will be applying the same description as in PH1 Coverage is one-level approval for (1) Certificate of Employment and (2) Certificate of Employment for Other Purposes and (3) BIR certificates/forms Enhancements: - Toggle if a certificate requires approval to be generated - Add remarks when disapproving a request (Optional) - Add remarks when requesting for a certificate (Optional) - For COE and COE for other purposes requiring a Recipient, a Recipient will be available for requestors	P&A Admin, Client Admin	Complete	Approved	Deployed							
181	HRM	Phase II	Statutory Requirements Module	23		180	Statutory Requirements	Tax Rates and Tables	Viewing and updating of of tax rates and tax tables * Customizable and unlimited entries showing updated and old ones * Editable * Authorized user to select a particular client to view and edit (Apply filters if necessary) * With report generation to pdf and excel with parameters * With upload, encode, and import facility (with template) * Add, view, edit, delete * With search facility	Included in Reference Tables under Computational Basis	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
182	HRM	Phase II	Statutory Requirements Module	23		181	Statutory Requirements	Phil Health Tables	Viewing and updating of of Philhealth tables * Customizable and unlimited entries showing updated and old ones * Editable * Authorized user to select a particular client to view and edit (Apply filters if necessary) * With report generation to pdf and excel with parameters * With upload, encode, and import facility (with template) * Add, view, edit, delete * With search facility	Included in Reference Tables under Computational Basis	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
183	HRM	Phase II	Statutory Requirements Module	23		182	Statutory Requirements	SSS Tables	Viewing and updating of of SSS tables * Customizable and unlimited entries showing updated and old ones * Editable * Authorized user to select a particular client to view and edit (Apply filters if necessary) * With report generation to pdf and excel with parameters * With upload, encode, and import facility (with template) * Add, view, edit, delete * With search facility	Included in Reference Tables under Computational Basis	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
184	HRM	Phase II	Statutory Requirements Module	23		183	Statutory Requirements	Pag-ibig HDMF Tables	Viewing and updating of of HDMF tables * Customizable and unlimited entries showing updated and old ones * Editable * Authorized user to select a particular client to view and edit (Apply filters if necessary) * With report generation to pdf and excel with parameters * With upload, encode, and import facility (with template) * Add, view, edit, delete * With search facility	Included in Reference Tables under Computational Basis	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
185	HRM	Phase II	Statutory Requirements Module	23		184	Statutory Requirements	De Minimis Table	Viewing and updating of De Minimis ables * Customizable and unlimited entries showing updated and old ones * Editable * Authorized user to select a particular client to view and edit (Apply filters if necessary) * With report generation to pdf and excel with parameters * With upload, encode, and import facility (with template) * Add, view, edit, delete * With search facility	* De Minimis Table to be included in the Reference Table set up under Computational Basis	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
186	Payroll	Phase II	Reports/Report Generation Module	22		185	Reports	Headcount report * Existing in HRM and TK (Phase 1)	Headcount report (Report Type - Employment status, Employee Group; Period; Number of employees breakdown; Report selector in detail per employee - employee group, department, etc.; Total headcount) * Customizable - with dropdown as to what headcount report to generate * With report generation to pdf and excel * With report selector (e.g. employee group, etc) * Can be linked directly to payroll system		P&A Admin, Client Admin	Covered in phase 1	Not yet started	Not yet started							
187	Payroll	Phase II	Reports/Report Generation Module	22		186	Reports	Employee Masterfile report * Existing in HRM and TK (Phase 1)	Employee Masterfile report viewing and printing (Report Type - Active and Resigned, New Hires; Period; Employee Number; Employee Names; Fields/Values depending on the chosen type and report selector; Headcount; Report selector in detail per employee - employee group, department, etc.) * Customizable - with dropdwon as to what masterfile report to generate. And with option to generate all fields in the masterfile in 1 report * With report generation to pdf and excel * With report selector (e.g. employee group, etc) * Can be linked directly to payroll system		P&A Admin, Client Admin	Covered in phase 1	Not yet started	Not yet started							
188	Payroll	Phase II	Reports/Report Generation Module	22		187	Reports	History of Movement in the employee data report * Existing in HRM and TK (Phase 1)	History of Movement in the employee data report viewing and printing (Report Type - Position, Department, Salary; Employee Number; Employee Names; Date From; Date To; From Value; To Value; Headcount; Report selector in detail per employee - employee group, department, etc.) * Customizable - with dropdwon as to what employee data movement report to generate. And with option to generate all employee data movement in 1 report * With report generation to pdf and excel * With report selector (e.g. employee group, etc) * Can be linked directly to payroll system		P&A Admin, Client Admin	Covered in phase 1	Not yet started	Not yet started							
189	Payroll	Phase II	Reports/Report Generation Module	22		188	Reports	Loan Balances report	Loan Balances report viewing and printing * Customizable * With report generation to pdf and excel * With report selector (e.g. employee group, etc) * Can be linked directly to payroll system	New Report (not existing in PH1) Loan Balances is for HR (summary of loan balances, can select employee, group of employees, department, or company-wide, and date range/payout date/payroll period) File type: same with other reports (option to export in xlsx, CSV, PDF, etc.)	P&A Admin, Client Admin	Not yet Started	Not applicable	Not yet started							
190	Payroll	Phase II	Reports/Report Generation Module	22		189	Reports	Earnings report * Existing in HRM and TK (Phase 1)	Earnings report viewing and printing (Report Type - Basic Pay Summary, Taxable Fixed Earnings, Non-Taxable Fixed Earnings, One-Time Taxable Earnings, One-Time Non-Taxable Earnings, Absences, Lates, Undertime, etc.; Period; Employee Number; Employee Names; Fields/Values depending on the chosen type and report selector; Headcount; Report selector in detail per employee - employee group, department, etc.t) * Customizable - with dropdown as to what earnings report to generate. And with option to generate all earnings type in 1 report * With report generation to pdf and excel * With report selector (e.g. employee group, etc) * Can be linked directly to payroll system		P&A Admin, Client Admin	Not yet Started	Not applicable	Not yet started							
191	Payroll	Phase II	Reports/Report Generation Module	22		190	Reports	Deductions report * Existing in HRM and TK (Phase 1)	Deductions (government and company) report viewing and printing (Report Type - Company Deduction, Fixed Company Deduction, One-Time Company Deduction, Company Loan, Government Loan, etc.; Period; Employee Number; Employee Names; Fields/Values depending on the chosen type and report selector; Headcount; Report selector in detail per employee - employee group, department, etc.t) * Customizable - with dropdown as to what earnings report to generate. And with option to generate all deductions types in 1 report * With report generation to pdf and excel * With report selector (e.g. employee group, etc) * Can be linked directly to payroll system		P&A Admin, Client Admin	Not yet Started	Not applicable	Not yet started							
192	Payroll	Phase II	Reports/Report Generation Module	22		191	Reports	Certifications report * Existing in HRM and TK (Phase 1)	Employees certifications (COE, BIR 2316, BIR 2307, SSS, PHIC, HDMF) report viewing and printing * Customizable - as agreed with fixed templates and should be open for enhancements and additional templates * With report generation to pdf and excel * With report selector (e.g. employee group, etc) * Can be linked directly to payroll system		P&A Admin, Client Admin	Not yet Started	Not applicable	Not yet started							
193	Payroll	Phase II	Reports/Report Generation Module	22		192	Reports	Staff Attendance Summary report * Existing in HRM and TK (Phase 1)	Staff attendance summary report viewing and printing (Report Type - Daily Time Record, Time In/Time Out, Absences, etc.; Period; Employee Number; Employee Names; Required No. of Hours/Shift; Fields/Values depending on the chosen type and report selector; Headcount; Report selector in detail per employee - employee group, department, etc.) * Customizable - with dropdown as to what attendance report to generate * With report generation to pdf and excel * With report selector (e.g. employee group, etc)		P&A Admin, Client Admin	Complete	Approved	Deployed							
194	Payroll	Phase II	Reports/Report Generation Module	22	2	193	Reports	Leave ledger/balance report * Existing in HRM and TK (Phase 1)	Leave ledger/balance report viewing and printing (Leave Code, Leave Type, Employee Number, Employee Names, Effective Date, Opening Balance, Leave Credits/Accrual, Used Leaves, Closing Balance; Headcount; Report selector in detail per employee - employee group, department, etc.) * Customizable - with dropdown as to what leave type ledger/balance report to generate. And with option to generate all leave types in 1 report * With report generation to pdf and excel * With report selector (e.g. employee group, etc)		P&A Admin, Client Admin	Covered in phase 1	In progress	Not yet started							
195	Payroll	Phase II	Reports/Report Generation Module	22	2	194	Reports	Leave conversion report * Existing in HRM and TK (Phase 1)	Leave conversion report viewing and printing (Leave Code, Leave Type, Employee Number, Employee Names, Leave Credits, Used Leaves, Leave Conversion, Date of Conversion, Leave Balances, Remarks; Headcount; Report selector in detail per employee - employee group, department, etc.) * Customizable - with dropdown as to what leave type conversion report to generate. And with option to generate all leave types conversion in 1 report * With report generation to pdf and excel * With report selector (e.g. employee group, etc) * Can be linked directly to payroll system		P&A Admin, Client Admin	Covered in phase 1	Not applicable	Not yet started							
196	Payroll	Phase II	Reports/Report Generation Module	22	2	195	Reports	Overtime summary report * Existing in HRM and TK (Phase 1)	Overtime summary report per unit viewing and printing (Period/Date of Overtime; Day Type/OT Type - Regular Working Day; Regular Holiday;etc; Employee Number; Employee Names; OT Start Time; OT End Time; Heacount; Grand Total; Reason; Report selector in detail per employee - employee group, department, etc.) * Customizable - with dropdown as to what report to generate - indivdivual or all employees or per employee group/from report selector * With report generation to pdf and excel * With report selector (e.g. cut off, employee group, etc) * Can be linked directly to payroll system		P&A Admin, Client Admin	Complete	Approved	Deployed							
197	Payroll	Phase II	Reports/Report Generation Module	22		196	Reports	Compliance report	Compliance report viewing and printing * Customizable * With report generation to pdf and excel * With report selector (e.g. employee group, etc)	New Report (not existing in PH1) Example: - Payroll (capturing of all required fields prior to payroll processing and validation on inputs on those fields - validation on number of characters/numbers in the field) to check: validation on same numbers (ex. 111111111) Client's admin/P&A to generate compliance reports	P&A Admin, Client Admin	Covered in phase 1	Not yet started	Not yet started							
198	Payroll	Phase II	Reports/Report Generation Module	22		197	Reports	Exception report * Existing in HRM and TK (Phase 1)	Exception report viewing and printing (Period; Feature/Field; Previous Value; New/Additional Value; Deleted Value; Adjustment/Updated Value; Current Value * Customizable - with dropdown as to what exception type report to generate. And with option to generate all exception types in 1 report, and if to generate in total or per employee * With report generation to pdf and excel * Can be linked directly to payroll system		P&A Admin, Client Admin	Covered in phase 1	Not yet started	Not yet started							
